name,task,metric,best_acc,last_acc,n_points,final_iter,state,ckpt,baseline,error
cifar10_revise+jepa0p1+spar0p5_s3,cifar10,test_accuracies_most_certain,0.5766,0.5766,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1+spar0p5_s4,cifar10,test_accuracies_most_certain,0.6177,0.6177,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1_s0,cifar10,test_accuracies_most_certain,0.6272,0.6272,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1_s1,cifar10,test_accuracies_most_certain,0.5869,0.5869,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1_s2,cifar10,test_accuracies_most_certain,0.6036,0.6036,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1_s3,cifar10,test_accuracies_most_certain,0.608,0.608,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise+jepa0p1_s4,cifar10,test_accuracies_most_certain,0.6107,0.6107,2,2000,done,checkpoint.pt,0.6443,
cifar10_revise_jepa_s0,cifar10,test_accuracies_most_certain,0.8478,0.8454,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_jepa_s1,cifar10,test_accuracies_most_certain,0.8158,0.8125,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_jepa_s2,cifar10,test_accuracies_most_certain,0.8488,0.8472,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_jepa_s3,cifar10,test_accuracies_most_certain,0.8515,0.8507,101,200000,done,checkpoint.pt,0.6443,
cifar10_revise_jepa_s4,cifar10,test_accuracies_most_certain,0.8349,0.8339,101,200000,done,checkpoint.pt,0.6443,
mazes_revise_jepa_s0,mazes,test_accuracies_most_certain,0.90877,0.90809,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_jepa_s1,mazes,test_accuracies_most_certain,0.89395,0.8308,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_jepa_s2,mazes,test_accuracies_most_certain,0.89924,0.89876,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_jepa_s3,mazes,test_accuracies_most_certain,0.88887,0.88826,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_jepa_s4,mazes,test_accuracies_most_certain,0.87286,0.87071,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_spar_s0,mazes,test_accuracies_most_certain,0.90774,0.90733,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_spar_s1,mazes,test_accuracies_most_certain,0.86871,0.77026,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_spar_s2,mazes,test_accuracies_most_certain,0.9047,0.90379,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_spar_s3,mazes,test_accuracies_most_certain,0.88001,0.86113,100,100000,done,checkpoint.pt,0.9117,
mazes_revise_spar_s4,mazes,test_accuracies_most_certain,0.88267,0.87421,100,100000,done,checkpoint.pt,0.9117,
sort_full_stack_s0,sort,test_accuracies_full_list,0.5416666666666666,0.40625,101,100000,done,checkpoint.pt,0.8753,
sort_full_stack_s1,sort,test_accuracies_full_list,0.5625,0.4895833333333333,101,100000,done,checkpoint.pt,0.8753,
sort_full_stack_s2,sort,test_accuracies_full_list,0.6458333333333334,0.5729166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_full_stack_s3,sort,test_accuracies_full_list,0.71875,0.6458333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_full_stack_s4,sort,test_accuracies_full_list,0.625,0.5104166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_jepa_spar_s0,sort,test_accuracies_full_list,0.5416666666666666,0.40625,101,100000,done,checkpoint.pt,0.8753,
sort_jepa_spar_s1,sort,test_accuracies_full_list,0.5625,0.4895833333333333,101,100000,done,checkpoint.pt,0.8753,
sort_jepa_spar_s2,sort,test_accuracies_full_list,0.6458333333333334,0.5729166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_jepa_spar_s3,sort,test_accuracies_full_list,0.71875,0.6458333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_jepa_spar_s4,sort,test_accuracies_full_list,0.625,0.5104166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_revise_spar_s0,sort,test_accuracies_full_list,0.6458333333333334,0.5729166666666666,101,100000,done,checkpoint.pt,0.8753,
sort_revise_spar_s1,sort,test_accuracies_full_list,0.8229166666666666,0.6875,101,100000,done,checkpoint.pt,0.8753,
sort_revise_spar_s2,sort,test_accuracies_full_list,0.75,0.5833333333333334,101,100000,done,checkpoint.pt,0.8753,
sort_revise_spar_s3,sort,test_accuracies_full_list,0.6666666666666666,0.6145833333333334,101,100000,done,checkpoint.pt,0.8753,
sort_revise_spar_s4,sort,test_accuracies_full_list,0.7083333333333334,0.7083333333333334,101,100000,done,checkpoint.pt,0.8753,
